post_id,text,post_date,views,likes,shares,comments
P001,Post about diy on Facebook,2023-07-01,6055,2505,196,104
P002,Post about music on Facebook,2023-07-02,7592,1819,350,195
P003,Post about review on IG,2023-07-03,6728,2094,47,313
P004,Post about cat on IG,2023-07-04,5449,245,656,113
P005,Post about diy on IG,2023-07-05,5372,817,269,74
P006,Post about music on Facebook,2023-07-06,1907,2351,370,216
P007,Post about travel on IG,2023-07-07,5991,2946,636,276
P008,Post about vlog on Facebook,2023-07-08,5735,979,106,248
P009,Post about food on TikTok,2023-07-09,5131,1524,670,163
P010,Post about vlog on TikTok,2023-07-10,3710,472,659,191
P011,Post about review on Facebook,2023-07-11,402,835,657,226
P012,Post about cat on TikTok,2023-07-12,4418,678,120,176
P013,Post about funny on Facebook,2023-07-13,9158,566,604,98
P014,Post about cat on IG,2023-07-14,4589,1235,58,35
P015,Post about workout on IG,2023-07-15,2527,36,346,95
P016,Post about travel on Facebook,2023-07-16,8204,1263,474,151
P017,Post about workout on Facebook,2023-07-17,3131,2225,117,150
P018,Post about workout on IG,2023-07-18,7977,2544,127,189
P019,Post about review on Facebook,2023-07-19,397,1089,393,223
P020,Post about diy on TikTok,2023-07-20,7325,2585,641,36
P021,Post about travel on Facebook,2023-07-21,2130,2166,58,267
P022,Post about food on TikTok,2023-07-22,6487,1788,634,182
P023,Post about funny on TikTok,2023-07-23,9000,1080,513,12
P024,Post about review on TikTok,2023-07-24,9539,2347,96,278
P025,Post about travel on IG,2023-07-25,4482,2564,638,216
P026,Post about diy on Facebook,2023-07-26,2711,321,118,285
P027,Post about music on IG,2023-07-27,859,200,560,272
P028,Post about workout on TikTok,2023-07-28,3011,626,601,61
P029,Post about summer on TikTok,2023-07-29,7298,719,488,83
P030,Post about music on TikTok,2023-07-30,6746,1012,237,216
P031,Post about vlog on TikTok,2023-07-31,9761,1159,272,341
P032,Post about cat on TikTok,2023-08-01,2186,210,189,186
P033,Post about food on TikTok,2023-08-02,8538,2320,447,18
P034,Post about food on TikTok,2023-08-03,3111,1000,581,176
P035,Post about travel on TikTok,2023-08-04,1934,2995,247,99
P036,Post about music on TikTok,2023-08-05,2043,2026,76,232
P037,Post about diy on Facebook,2023-08-06,8880,1204,154,75
P038,Post about music on Facebook,2023-08-07,3176,147,656,264
P039,Post about food on IG,2023-08-08,2159,2085,435,283
P040,Post about review on TikTok,2023-08-09,5959,1836,86,205
P041,Post about funny on Facebook,2023-08-10,6894,1778,697,222
